"Player","Team","GamesPlayed","Minutes","Points","ThreesMade","Season"
"Serge Ibaka","OKC","78","32.1","12.6","0.8","2015-16"
"Wesley Matthews","DAL","78","33.9","12.5","2.4","2015-16"
"Kenneth Faried","DEN","67","25.3","12.5","0","2015-16"
"JR Smith","CLE","77","30.7","12.4","2.6","2015-16"
"Luol Deng","MIA","74","32.4","12.3","1.2","2015-16"
"Gary Harris","DEN","76","32.1","12.3","1.4","2015-16"
"Joe Johnson","MIA","81","33.4","12.2","1.5","2015-16"
"Mirza Teletovic","PHX","79","21.3","12.2","2.3","2015-16"
"George Hill","IND","74","34.1","12.1","1.7","2015-16"
"Markieff Morris","WAS","64","25.5","12","0.7","2015-16"
"Rajon Rondo","SAC","72","35.2","11.9","0.9","2015-16"
"Tony Parker","SAS","72","27.5","11.9","0.4","2015-16"
"Omri Casspi","SAC","69","27.2","11.8","1.6","2015-16"
"Nikola Mirotic","CHI","66","24.9","11.8","2","2015-16"
"CJ Miles","IND","64","22.9","11.8","2.2","2015-16"
"Jeff Green","LAC","80","28.2","11.7","0.8","2015-16"
"Harrison Barnes","GSW","66","30.9","11.7","1.2","2015-16"
"Jeremy Lin","CHA","78","26.3","11.7","1","2015-16"
"Marvin Williams","CHA","81","28.9","11.7","1.9","2015-16"
"Kent Bazemore","ATL","75","27.8","11.6","1.5","2015-16"
"Otto Porter Jr.","WAS","75","30.3","11.6","1.3","2015-16"
"Julius Randle","LAL","81","28.2","11.3","0.1","2015-16"
"Bojan Bogdanovic","BKN","79","26.8","11.2","1.6","2015-16"
"Nerlens Noel","PHI","67","29.3","11.1","0","2015-16"
"Dennis Schröder","ATL","80","20.3","11","1","2015-16"
"Isaiah Canaan","PHI","77","25.5","11","2.3","2015-16"
"J.J. Barea","DAL","74","22.5","10.9","1.4","2015-16"
"Elfrid Payton","ORL","73","29.4","10.7","0.4","2015-16"
"Trey Burke","UTA","64","21.3","10.6","1.4","2015-16"
"Evan Turner","BOS","81","28","10.5","0.2","2015-16"
"Shabazz Muhammad","MIN","82","20.5","10.5","0.5","2015-16"
"Ersan Ilyasova","ORL","74","25.4","10.4","1.3","2015-16"
"Myles Turner","IND","60","22.8","10.3","0.1","2015-16"
"Jared Sullinger","BOS","81","23.6","10.3","0.4","2015-16"
"Mario Chalmers","MIA","61","22.5","10.3","0.8","2015-16"
"Allen Crabbe","POR","81","26","10.3","1.4","2015-16"
"Robin Lopez","NYK","82","27.1","10.3","0","2015-16"
"Marco Belinelli","SAC","68","24.6","10.2","1.3","2015-16"
"Al-Farouq Aminu","POR","82","28.5","10.2","1.5","2015-16"
"Gorgui Dieng","MIN","82","27.1","10.1","0.1","2015-16"
"Ricky Rubio","MIN","76","30.6","10.1","0.8","2015-16"
"Matt Barnes","MEM","76","28.8","10","1.6","2015-16"
"Kelly Olynyk","BOS","69","20.2","10","1.2","2015-16"
"Nikola Jokić","DEN","80","21.7","10","0.4","2015-16"
"Ramon Sessions","WAS","82","20.3","9.9","0.4","2015-16"
"Terrence Ross","TOR","73","23.9","9.9","1.8","2015-16"
"Patrick Beverley","HOU","71","28.7","9.9","1.7","2015-16"
"Hollis Thompson","PHI","77","28","9.8","1.9","2015-16"
"Dion Waiters","OKC","78","27.6","9.8","1.1","2015-16"
"Jerami Grant","PHI","77","26.8","9.7","0.5","2015-16"
"Marcus Thornton","WAS","61","18.2","9.7","1.5","2015-16"
"Courtney Lee","CHA","79","29.5","9.6","1","2015-16"
"Manu Ginobili","SAS","58","19.6","9.6","1.2","2015-16"
"Raymond Felton","DAL","80","27.4","9.5","0.8","2015-16"
"Doug McDermott","CHI","81","23","9.4","1.4","2015-16"
"Derrick Williams","NYK","80","17.9","9.3","0.6","2015-16"
"Ian Mahinmi","IND","71","25.6","9.3","0","2015-16"
"Kyle Korver","ATL","80","30","9.2","2","2015-16"
"Aaron Gordon","ORL","78","23.9","9.2","0.5","2015-16"
"Marcus Smart","BOS","61","27.3","9.1","1","2015-16"
"Mason Plumlee","POR","82","25.4","9.1","0","2015-16"
"Rudy Gobert","UTA","61","31.7","9.1","0","2015-16"
"Alex Len","PHX","78","23.3","9","0","2015-16"
"Gerald Green","MIA","69","22.6","8.9","1.2","2015-16"
"Rodney Stuckey","IND","58","22","8.9","0.3","2015-16"
"Austin Rivers","LAC","67","21.9","8.9","0.9","2015-16"
"Jordan Hill","IND","73","20.7","8.8","0","2015-16"
"Jeremy Lamb","CHA","66","18.6","8.8","0.8","2015-16"
"Cody Zeller","CHA","73","24.3","8.7","0","2015-16"
"Luis Scola","TOR","76","21.5","8.7","0.9","2015-16"
"Toney Douglas","NOP","61","20.7","8.7","1.3","2015-16"
"Gerald Henderson","POR","72","19.9","8.7","0.7","2015-16"
"Taj Gibson","CHI","73","26.5","8.6","0","2015-16"
"Tim Duncan","SAS","61","25.2","8.6","0","2015-16"
"Zaza Pachulia","DAL","76","26.4","8.6","0","2015-16"
"Patty Mills","SAS","81","20.5","8.5","1.5","2015-16"
"Jon Leuer","PHX","67","18.7","8.5","0.6","2015-16"
"Cory Joseph","TOR","80","25.6","8.5","0.4","2015-16"
"Nik Stauskas","PHI","73","24.8","8.5","1.5","2015-16"
"Meyers Leonard","POR","61","21.9","8.4","1.4","2015-16"
"Tony Allen","MEM","64","25.3","8.4","0.2","2015-16"
"Lance Stephenson","MEM","69","19.9","8.3","0.4","2015-16"
"Lance Thomas","NYK","59","22.3","8.2","0.7","2015-16"
"Stanley Johnson","DET","73","23.1","8.1","0.9","2015-16"
"P.J. Tucker","PHX","82","31","8","0.8","2015-16"
"Steven Adams","OKC","80","25.2","8","0","2015-16"
"Joffrey Lauvergne","DEN","59","17.6","7.9","0.2","2015-16"
"Jared Dudley","WAS","81","25.9","7.9","1.2","2015-16"
"Tristan Thompson","CLE","82","27.7","7.8","0","2015-16"
"Ben McLemore","SAC","68","21.2","7.8","1","2015-16"
"Wayne Ellington","BKN","76","21.3","7.7","1.3","2015-16"
"Langston Galloway","NYK","82","24.8","7.6","0.9","2015-16"
"Devin Harris","DAL","64","20","7.6","0.8","2015-16"
"Jose Calderon","NYK","72","28.1","7.6","1.2","2015-16"
"D.J. Augustin","DEN","62","19","7.5","1.1","2015-16"
"Darrell Arthur","DEN","70","21.7","7.5","0.6","2015-16"
"E'Twaun Moore","CHI","59","21.4","7.5","0.8","2015-16"
"Matthew Dellavedova","CLE","76","24.6","7.5","1.3","2015-16"
"Frank Kaminsky","CHA","81","21.1","7.5","0.8","2015-16"
"JaMychal Green","MEM","78","18.5","7.4","0.2","2015-16"
"Amir Johnson","BOS","79","22.8","7.3","0.1","2015-16"
"Garrett Temple","WAS","80","24.4","7.3","1.1","2015-16"
"Shane Larkin","BKN","78","22.4","7.3","0.5","2015-16"
"Danny Green","SAS","79","26.1","7.2","1.5","2015-16"
"Corey Brewer","HOU","82","20.4","7.2","0.7","2015-16"
"Jason Smith","ORL","76","15.5","7.2","0.1","2015-16"
"Brandon Bass","LAL","66","20.3","7.2","0","2015-16"
"Tyson Chandler","PHX","66","24.5","7.2","0","2015-16"
"Aaron Brooks","CHI","69","16.1","7.1","1","2015-16"
"Marreese Speights","GSW","72","11.6","7.1","0.3","2015-16"
"David West","SAS","78","18","7.1","0","2015-16"
"Clint Capela","HOU","77","19.1","7","0","2015-16"
"Bobby Portis","CHI","62","17.8","7","0.3","2015-16"
"Andre Iguodala","GSW","65","26.6","7","0.8","2015-16"
"Willie Cauley-Stein","SAC","66","21.4","7","0","2015-16"
"Donald Sloan","BKN","61","21.6","7","0.6","2015-16"
"Patrick Patterson","TOR","79","25.6","6.9","1.3","2015-16"
"Wesley Johnson","LAC","80","20.8","6.9","1.3","2015-16"
"Kosta Koufos","SAC","78","19","6.8","0","2015-16"
"Vince Carter","MEM","60","16.8","6.6","1","2015-16"
"Ed Davis","POR","81","20.8","6.5","0","2015-16"
"Justise Winslow","MIA","78","28.6","6.4","0.4","2015-16"
"Thabo Sefolosha","ATL","75","23.4","6.4","0.6","2015-16"
"Maurice Harkless","POR","78","18.7","6.4","0.5","2015-16"
"Boris Diaw","SAS","76","18.2","6.4","0.3","2015-16"
"Leandro Barbosa","GSW","68","15.9","6.4","0.6","2015-16"
"Aron Baynes","DET","81","15.2","6.3","0","2015-16"
"Shaun Livingston","GSW","78","19.5","6.3","0","2015-16"
"Timofey Mozgov","CLE","76","17.4","6.3","0","2015-16"
"PJ Hairston","MEM","66","19.9","6.2","1.1","2015-16"
"Mike Scott","ATL","75","15.3","6.2","0.8","2015-16"
"Paul Pierce","LAC","68","18.1","6.1","1.1","2015-16"
"Trey Lyles","UTA","80","17.3","6.1","0.6","2015-16"
"T.J. McConnell","PHI","81","19.8","6.1","0.4","2015-16"
"Channing Frye","CLE","70","17.1","6.1","1.3","2015-16"
"Tyler Zeller","BOS","60","11.8","6.1","0","2015-16"
"Mario Hezonja","ORL","79","17.9","6.1","0.8","2015-16"
"Dante Cunningham","NOP","80","24.6","6.1","0.7","2015-16"
"Alexis Ajinca","NOP","59","14.6","6","0","2015-16"
"Roy Hibbert","LAL","81","23.2","5.9","0","2015-16"
"Raul Neto","UTA","81","18.5","5.9","0.8","2015-16"
"Jason Terry","HOU","72","17.5","5.9","1.3","2015-16"
"Trevor Booker","UTA","79","20.7","5.9","0.2","2015-16"
"Markel Brown","BKN","62","15.8","5.9","0.6","2015-16"
"Randy Foye","OKC","81","20.3","5.9","0.9","2015-16"
"Dwight Powell","DAL","69","14.4","5.8","0","2015-16"
"Ty Lawson","IND","66","21.4","5.7","0.5","2015-16"
"Jerian Grant","NYK","76","16.6","5.6","0.3","2015-16"
"Anthony Morrow","OKC","68","13.6","5.6","1.2","2015-16"
"Richard Jefferson","CLE","74","17.9","5.5","0.9","2015-16"
"Larry Nance Jr.","LAL","63","20.1","5.5","0","2015-16"
"Bismack Biyombo","TOR","82","22","5.5","0","2015-16"
"Cole Aldrich","LAC","60","13.3","5.5","0","2015-16"
"Lavoy Allen","IND","79","20.2","5.4","0","2015-16"
"Andrew Bogut","GSW","70","20.7","5.4","0","2015-16"
"Ronnie Price","PHX","62","19.5","5.3","1.1","2015-16"
"Anthony Tolliver","DET","72","18.6","5.3","1.4","2015-16"
"Tony Snell","CHI","64","20.3","5.3","0.9","2015-16"
"Quincy Acy","SAC","59","14.8","5.2","0.3","2015-16"
"Miles Plumlee","MIL","61","14.3","5.1","0","2015-16"
"Charlie Villanueva","DAL","62","10.7","5.1","0.8","2015-16"
"Nemanja Bjelica","MIN","60","17.9","5.1","0.8","2015-16"
"JaKarr Sampson","DEN","73","15.9","5.1","0.2","2015-16"
"Sasha Vujacic","NYK","61","14.9","4.9","0.9","2015-16"
"Andre Roberson","OKC","70","22.2","4.8","0.5","2015-16"
"Kyle O'Quinn","NYK","65","11.8","4.8","0.1","2015-16"
"Kyle Anderson","SAS","78","16","4.5","0.2","2015-16"
"Alonzo Gee","NOP","73","22.4","4.5","0.2","2015-16"
"Dewayne Dedmon","ORL","58","12.2","4.4","0","2015-16"
"Steve Blake","DET","58","17","4.4","0.9","2015-16"
"Jonas Jerebko","BOS","78","15.1","4.4","0.6","2015-16"
"Thomas Robinson","BKN","71","12.9","4.3","0","2015-16"
"Brandon Rush","GSW","72","14.7","4.2","0.9","2015-16"
"Joe Ingles","UTA","81","15.3","4.2","1","2015-16"
"Solomon Hill","IND","59","14.7","4.2","0.4","2015-16"
"Chase Budinger","PHX","66","14.1","4.1","0.4","2015-16"
"Omer Asik","NOP","68","17.3","4","0","2015-16"
"Kelly Oubre Jr.","WAS","63","10.7","3.7","0.4","2015-16"
"Noah Vonleh","POR","78","15.1","3.6","0.1","2015-16"
"Ian Clark","GSW","66","8.8","3.6","0.5","2015-16"
"Kyle Singler","OKC","68","14.4","3.4","0.4","2015-16"
"Mike Muscala","ATL","60","9.4","3.3","0.2","2015-16"
"Rashad Vaughn","MIL","70","14.3","3.1","0.6","2015-16"
"Luc Mbah a Moute","LAC","75","17","3.1","0.2","2015-16"
"Johnny O'Bryant III","MIL","66","13","3","0","2015-16"
"Chris Johnson","UTA","70","12.2","2.9","0.4","2015-16"
"Tayshaun Prince","MIN","77","19","2.9","0.1","2015-16"
"Pablo Prigioni","LAC","59","13.9","2.5","0.5","2015-16"
"Nick Collison","OKC","59","11.8","2.1","0","2015-16"
"Russell Westbrook","OKC","67","34.4","28.1","1.3","2014-15"
"James Harden","HOU","81","36.8","27.4","2.6","2014-15"
"LeBron James","CLE","69","36.1","25.3","1.7","2014-15"
"Anthony Davis","NOP","68","36.1","24.4","0","2014-15"
"DeMarcus Cousins","SAC","59","34.1","24.1","0","2014-15"
"Stephen Curry","GSW","80","32.7","23.8","3.6","2014-15"
"LaMarcus Aldridge","POR","71","35.4","23.4","0.5","2014-15"
"Blake Griffin","LAC","67","35.2","21.9","0.1","2014-15"
"Kyrie Irving","CLE","75","36.4","21.7","2.1","2014-15"
"Klay Thompson","GSW","77","31.9","21.7","3.1","2014-15"
"Dwyane Wade","MIA","62","31.8","21.5","0.5","2014-15"
"Rudy Gay","SAC","68","35.4","21.1","1.2","2014-15"
"Damian Lillard","POR","82","35.7","21","2.4","2014-15"
"DeMar DeRozan","TOR","60","35","20.1","0.4","2014-15"
"Jimmy Butler III","CHI","65","38.7","20","1.1","2014-15"
"Nikola Vučević","ORL","74","34.2","19.3","0","2014-15"
"Gordon Hayward","UTA","76","34.4","19.3","1.6","2014-15"
"Chris Paul","LAC","82","34.8","19.1","1.7","2014-15"
"Monta Ellis","DAL","80","33.7","18.9","1","2014-15"
"Pau Gasol","CHI","78","34.4","18.5","0.2","2014-15"
"Victor Oladipo","ORL","72","35.7","17.9","1.2","2014-15"
"Kyle Lowry","TOR","70","34.5","17.8","1.9","2014-15"
"John Wall","WAS","79","35.9","17.6","0.8","2014-15"
"Marc Gasol","MEM","81","33.2","17.4","0","2014-15"
"Kemba Walker","CHA","62","34.2","17.3","1.4","2014-15"
"Dirk Nowitzki","DAL","77","29.6","17.3","1.4","2014-15"
"Brook Lopez","BKN","72","29.2","17.2","0","2014-15"
"Tobias Harris","ORL","68","34.8","17.1","1.3","2014-15"
"Eric Bledsoe","PHX","81","34.6","17","1.1","2014-15"
"Brandon Knight","PHX","63","32.3","17","2","2014-15"
"Andrew Wiggins","MIN","82","36.2","16.9","0.5","2014-15"
"Paul Millsap","ATL","73","32.7","16.7","1.1","2014-15"
"Al Jefferson","CHA","65","30.6","16.6","0","2014-15"
"Tyreke Evans","NOP","79","34.1","16.6","0.9","2014-15"
"Kawhi Leonard","SAS","64","31.8","16.5","1","2014-15"
"Isaiah Thomas","BOS","67","25.8","16.4","1.9","2014-15"
"Kevin Love","CLE","75","33.8","16.4","1.9","2014-15"
"JJ Redick","LAC","78","30.9","16.4","2.6","2014-15"
"Goran Dragic","MIA","78","33.8","16.3","1.2","2014-15"
"Zach Randolph","MEM","71","32.5","16.1","0.1","2014-15"
"Derrick Favors","UTA","74","30.8","16","0","2014-15"
"Wesley Matthews","POR","60","33.7","15.9","2.9","2014-15"
"Jeff Teague","ATL","73","30.5","15.9","1","2014-15"
"Greg Monroe","DET","69","31","15.9","0","2014-15"
"Mike Conley","MEM","70","31.8","15.8","1.5","2014-15"
"Jamal Crawford","LAC","64","26.6","15.8","1.9","2014-15"
"Chandler Parsons","DAL","66","33.1","15.7","2","2014-15"
"Lou Williams","TOR","80","25.2","15.5","1.9","2014-15"
"Enes Freedom","OKC","75","28.5","15.5","0.2","2014-15"
"Markieff Morris","PHX","82","31.5","15.3","0.7","2014-15"
"Bradley Beal","WAS","63","33.4","15.3","1.7","2014-15"
"Ty Lawson","DEN","75","35.5","15.2","0.9","2014-15"
"Al Horford","ATL","76","30.5","15.2","0.1","2014-15"
"Jeff Green","MEM","78","31.5","15","1.2","2014-15"
"Michael Carter-Williams","MIL","66","32.6","14.6","0.5","2014-15"
"Reggie Jackson","DET","77","29.5","14.5","0.9","2014-15"
"Joe Johnson","BKN","80","34.9","14.4","1.5","2014-15"
"Tony Parker","SAS","68","28.7","14.4","0.6","2014-15"
"Serge Ibaka","OKC","64","33.1","14.3","1.2","2014-15"
"Mo Williams","CHA","68","29.1","14.2","1.8","2014-15"
"Thaddeus Young","BKN","76","32","14.1","0.5","2014-15"
"Luol Deng","MIA","72","33.6","14","1.1","2014-15"
"Wilson Chandler","DEN","78","31.7","13.9","1.8","2014-15"
"Avery Bradley","BOS","77","31.5","13.9","1.6","2014-15"
"Tim Duncan","SAS","77","28.9","13.9","0","2014-15"
"Andre Drummond","DET","82","30.5","13.8","0","2014-15"
"Ryan Anderson","NOP","61","27.5","13.7","2","2014-15"
"Robert Covington","PHI","70","27.9","13.5","2.4","2014-15"
"CJ Miles","IND","70","26.3","13.5","2.2","2014-15"
"Eric Gordon","NOP","61","33.1","13.4","2.3","2014-15"
"Khris Middleton","MIL","79","30.1","13.4","1.4","2014-15"
"Jared Sullinger","BOS","58","27","13.3","0.9","2014-15"
"Arron Afflalo","POR","78","32.1","13.3","1.5","2014-15"
"Deron Williams","BKN","68","31.1","13","1.3","2014-15"
"Trey Burke","UTA","76","30.1","12.8","1.6","2014-15"
"Trevor Ariza","HOU","82","35.7","12.8","2.4","2014-15"
"Kentavious Caldwell-Pope","DET","82","31.5","12.7","1.9","2014-15"
"Giannis Antetokounmpo","MIL","81","31.4","12.7","0.1","2014-15"
"Rodney Stuckey","IND","71","26.4","12.6","0.8","2014-15"
"DeMarre Carroll","ATL","70","31.3","12.6","1.7","2014-15"
"Kenneth Faried","DEN","75","27.8","12.6","0","2014-15"
"Danilo Gallinari","DEN","59","24.2","12.4","1.8","2014-15"
"Josh Smith","HOU","83","27.7","12.4","0.9","2014-15"
"Marcin Gortat","WAS","82","29.9","12.2","0","2014-15"
"Kyle Korver","ATL","75","32.2","12.1","2.9","2014-15"
"Ben McLemore","SAC","82","32.6","12.1","1.7","2014-15"
"Gerald Henderson","CHA","80","28.9","12.1","0.6","2014-15"
"JR Smith","CLE","70","29.7","12.1","2.3","2014-15"
"Donatas Motiejunas","HOU","71","28.7","12","0.7","2014-15"
"Jonas Valančiūnas","TOR","80","26.2","12","0","2014-15"
"Evan Fournier","ORL","58","28.6","12","1.5","2014-15"
"Jordan Hill","LAL","70","26.8","12","0","2014-15"
"Jarrett Jack","BKN","80","28","12","0.5","2014-15"
"Gerald Green","PHX","74","19.5","11.9","1.9","2014-15"
"Jordan Clarkson","LAL","59","25","11.9","0.6","2014-15"
"Paul Pierce","WAS","73","26.2","11.9","1.6","2014-15"
"Carlos Boozer","LAL","71","23.8","11.8","0","2014-15"
"Dion Waiters","OKC","80","27.6","11.8","0.9","2014-15"
"Danny Green","SAS","81","28.5","11.7","2.4","2014-15"
"Draymond Green","GSW","79","31.5","11.7","1.4","2014-15"
"David West","IND","66","28.7","11.7","0.1","2014-15"
"Aaron Brooks","CHI","82","23","11.6","1.5","2014-15"
"DeAndre Jordan","LAC","82","34.4","11.5","0","2014-15"
"Ersan Ilyasova","MIL","58","22.7","11.5","1.3","2014-15"
"Amar'e Stoudemire","DAL","59","21.1","11.5","0","2014-15"
"Tim Hardaway Jr.","NYK","70","24","11.5","1.7","2014-15"
"Corey Brewer","HOU","80","26.1","11.5","0.8","2014-15"
"O.J. Mayo","MIL","71","23.9","11.4","1.4","2014-15"
"Jeremy Lin","LAL","74","25.8","11.2","0.9","2014-15"
"Jodie Meeks","DET","60","24.4","11.1","1.2","2014-15"
"Nene","WAS","67","25.3","11","0","2014-15"
"Anthony Morrow","OKC","74","24.4","10.7","1.9","2014-15"
"Brandon Bass","BOS","82","23.5","10.6","0.1","2014-15"
"Roy Hibbert","IND","76","25.3","10.6","0","2014-15"
"Manu Ginobili","SAS","70","22.7","10.5","1.3","2014-15"
"Marcus Morris Sr.","PHX","81","25.2","10.4","1.4","2014-15"
"Marreese Speights","GSW","76","15.9","10.4","0.1","2014-15"
"Taj Gibson","CHI","62","27.3","10.3","0","2014-15"
"Tyson Chandler","DAL","75","30.5","10.3","0","2014-15"
"Kelly Olynyk","BOS","64","22.3","10.3","1","2014-15"
"Mario Chalmers","MIA","80","29.6","10.2","0.9","2014-15"
"Nikola Mirotic","CHI","82","20.2","10.2","1.2","2014-15"
"Tyler Zeller","BOS","82","21.1","10.2","0","2014-15"
"Zach LaVine","MIN","77","24.7","10.1","0.7","2014-15"
"Courtney Lee","MEM","77","30.6","10.1","1.2","2014-15"
"Harrison Barnes","GSW","82","28.3","10.1","1.1","2014-15"
"Matt Barnes","LAC","76","29.9","10.1","1.8","2014-15"
"Wayne Ellington","LAL","65","25.8","10","1.4","2014-15"
"Dennis Schröder","ATL","77","19.7","10","0.7","2014-15"
"Nerlens Noel","PHI","75","30.8","9.9","0","2014-15"
"Wesley Johnson","LAL","76","29.5","9.9","1.2","2014-15"
"Luc Mbah a Moute","PHI","67","28.6","9.9","0.9","2014-15"
"Terrence Ross","TOR","82","25.5","9.8","1.8","2014-15"
"Gorgui Dieng","MIN","73","30","9.7","0","2014-15"
"Timofey Mozgov","CLE","81","25.3","9.7","0","2014-15"
"Robin Lopez","POR","59","27.8","9.6","0","2014-15"
"Evan Turner","BOS","82","27.6","9.5","0.4","2014-15"
"D.J. Augustin","OKC","82","24","9.5","1","2014-15"
"Greivis Vasquez","TOR","82","24.3","9.5","1.6","2014-15"
"Mike Dunleavy","CHI","63","29.2","9.4","1.7","2014-15"
"Luis Scola","IND","81","20.5","9.4","0.1","2014-15"
"Nicolas Batum","POR","71","33.5","9.4","1.4","2014-15"
"Amir Johnson","TOR","75","26.4","9.3","0.3","2014-15"
"Marco Belinelli","SAS","62","22.4","9.2","1.4","2014-15"
"P.J. Tucker","PHX","78","30.6","9.1","1.1","2014-15"
"Bojan Bogdanovic","BKN","78","23.8","9","1.2","2014-15"
"Rajon Rondo","DAL","68","29.7","8.9","0.4","2014-15"
"Elfrid Payton","ORL","82","30.4","8.9","0.1","2014-15"
"Solomon Hill","IND","82","29","8.9","0.8","2014-15"
"Omri Casspi","SAC","67","21.1","8.9","0.5","2014-15"
"Hollis Thompson","PHI","71","25","8.8","1.6","2014-15"
"Devin Harris","DAL","76","22.2","8.8","1.3","2014-15"
"Mason Plumlee","BKN","82","21.3","8.7","0","2014-15"
"Boris Diaw","SAS","81","24.5","8.7","0.7","2014-15"
"Chris Kaman","POR","74","18.9","8.6","0","2014-15"
"Tony Allen","MEM","63","26.2","8.6","0.2","2014-15"
"Tristan Thompson","CLE","82","26.8","8.5","0","2014-15"
"Rudy Gobert","UTA","82","26.3","8.4","0","2014-15"
"Derrick Williams","SAC","74","19.8","8.3","0.7","2014-15"
"Ed Davis","LAL","79","23.3","8.3","0","2014-15"
"Jameer Nelson","DEN","63","22.3","8.3","1.4","2014-15"
"Zaza Pachulia","MIL","73","23.7","8.3","0","2014-15"
"Lance Stephenson","CHA","61","25.8","8.2","0.3","2014-15"
"Henry Sims","PHI","73","19.2","8","0.1","2014-15"
"Iman Shumpert","CLE","62","24.9","8","1.1","2014-15"
"Jason Smith","NYK","82","21.8","8","0.2","2014-15"
"Patrick Patterson","TOR","81","26.6","8","1.3","2014-15"
"Kris Humphries","WAS","64","21","8","0","2014-15"
"James Johnson","TOR","70","19.6","7.9","0.2","2014-15"
"KJ McDaniels","HOU","62","21.8","7.9","0.7","2014-15"
"Andre Iguodala","GSW","77","26.9","7.8","1","2014-15"
"Marcus Smart","BOS","67","27","7.8","1.4","2014-15"
"Mike Scott","ATL","68","16.5","7.8","1","2014-15"
"Jerryd Bayless","MIL","77","22.3","7.8","0.5","2014-15"
"Rasual Butler","WAS","75","20.1","7.7","1.2","2014-15"
"Steven Adams","OKC","70","25.3","7.7","0","2014-15"
"Jae Crowder","BOS","82","20.1","7.7","0.7","2014-15"
"Beno Udrih","MEM","79","18.9","7.7","0.3","2014-15"
"Norris Cole","NOP","75","24.4","7.6","0.7","2014-15"
"Cody Zeller","CHA","62","24","7.6","0","2014-15"
"JJ Hickson","DEN","73","19.3","7.6","0","2014-15"
"J.J. Barea","DAL","77","17.7","7.5","0.7","2014-15"
"Tayshaun Prince","DET","58","24.1","7.5","0.5","2014-15"
"Marvin Williams","CHA","78","26.1","7.4","1.2","2014-15"
"Ray McCallum","SAC","68","21.1","7.4","0.5","2014-15"
"Alan Anderson","BKN","74","23.6","7.4","1","2014-15"
"Omer Asik","NOP","76","26.1","7.3","0","2014-15"
"Channing Frye","ORL","75","24.9","7.3","1.8","2014-15"
"Brandan Wright","PHX","75","19.3","7.3","0","2014-15"
"Joakim Noah","CHI","67","30.6","7.2","0","2014-15"
"Jared Dudley","MIL","72","23.8","7.2","1","2014-15"
"Carl Landry","SAC","70","17","7.2","0","2014-15"
"Trevor Booker","UTA","79","19.8","7.2","0.4","2014-15"
"Quincy Pondexter","NOP","75","23.9","7.2","1.2","2014-15"
"Lance Thomas","NYK","62","24","7.1","0.1","2014-15"
"Leandro Barbosa","GSW","66","14.9","7.1","0.7","2014-15"
"Jason Terry","HOU","77","21.3","7","1.6","2014-15"
"John Henson","MIL","67","18.3","7","0","2014-15"
"Austin Rivers","LAC","76","20.6","7","0.5","2014-15"
"Jusuf Nurkić","DEN","62","17.8","6.9","0","2014-15"
"Will Barton","DEN","58","17","6.8","0.4","2014-15"
"CJ McCollum","POR","62","15.7","6.8","0.9","2014-15"
"Chase Budinger","MIN","67","19.2","6.8","0.8","2014-15"
"Cory Joseph","SAS","79","18.3","6.8","0.2","2014-15"
"Brian Roberts","CHA","72","18.5","6.7","0.9","2014-15"
"Darrell Arthur","DEN","58","17","6.6","0.4","2014-15"
"Aron Baynes","SAS","70","16","6.6","0","2014-15"
"Kevin Seraphin","WAS","79","15.6","6.6","0","2014-15"
"Alexis Ajinca","NOP","68","14.1","6.5","0","2014-15"
"Anthony Tolliver","DET","76","18.9","6.3","1.4","2014-15"
"Jerami Grant","PHI","65","21.2","6.3","0.8","2014-15"
"Andrew Bogut","GSW","67","23.6","6.3","0","2014-15"
"Charlie Villanueva","DAL","64","10.6","6.3","1.3","2014-15"
"Ramon Sessions","WAS","64","18.6","6.3","0.3","2014-15"
"Alex Len","PHX","69","22","6.3","0","2014-15"
"Shane Larkin","NYK","76","24.5","6.2","0.5","2014-15"
"Jason Thompson","SAC","81","24.6","6.1","0","2014-15"
"Tony Snell","CHI","72","19.6","6","1","2014-15"
"Tarik Black","LAL","63","19","6","0","2014-15"
"Otto Porter Jr.","WAS","74","19.4","6","0.5","2014-15"
"Kyle Singler","OKC","80","21.8","6","1.2","2014-15"
"Jonas Jerebko","BOS","75","16.4","6","0.7","2014-15"
"Shaun Livingston","GSW","78","18.8","5.9","0","2014-15"
"Caron Butler","DET","78","20.8","5.9","1.1","2014-15"
"Quincy Acy","NYK","68","18.9","5.9","0.3","2014-15"
"Richard Jefferson","DAL","74","16.8","5.8","0.9","2014-15"
"Spencer Hawes","LAC","73","17.5","5.8","0.8","2014-15"
"Vince Carter","MEM","66","16.5","5.8","1","2014-15"
"Kirk Hinrich","CHI","66","24.4","5.7","0.9","2014-15"
"Pero Antic","ATL","63","16.5","5.7","0.8","2014-15"
"Al-Farouq Aminu","DAL","74","18.5","5.6","0.5","2014-15"
"Cole Aldrich","NYK","61","16","5.5","0","2014-15"
"Shawne Williams","DET","63","17.3","5.4","1","2014-15"
"Chris Andersen","MIA","60","18.9","5.3","0.1","2014-15"
"JaKarr Sampson","PHI","74","15.3","5.2","0.4","2014-15"
"Kent Bazemore","ATL","75","17.7","5.2","0.6","2014-15"
"Kosta Koufos","MEM","81","16.6","5.2","0","2014-15"
"Dante Cunningham","NOP","66","25","5.2","0","2014-15"
"James Ennis III","MIA","62","17","5","0.5","2014-15"
"Joe Ingles","UTA","79","21.2","5","0.9","2014-15"
"Lavoy Allen","IND","63","17","5","0","2014-15"
